央视高清,#genre#
CCTV1综合高清,http://118.24.227.124/__cl/cg:live/__c/cctv1HD/__op/default/__f/index.m3u8
CCTV2财经高清,http://118.24.227.124/__cl/cg:live/__c/cctv2HD/__op/default/__f/index.m3u8
CCTV3综艺高清,http://118.24.227.124/__cl/cg:live/__c/cctv3HD/__op/default/__f/index.m3u8
CCTV4中文国际高清,http://118.24.227.124/__cl/cg:live/__c/cctv4HD/__op/default/__f/index.m3u8
CCTV5体育高清,http://118.24.227.124/__cl/cg:live/__c/cctv5HD/__op/default/__f/index.m3u8
CCTV5+体育赛事高清,http://118.24.227.124/__cl/cg:live/__c/cctv5SportHD/__op/default/__f/index.m3u8
CCTV6电影高清,http://118.24.227.124/__cl/cg:live/__c/cctv6HD/__op/default/__f/index.m3u8
CCTV7国防军事高清,http://118.24.227.124/__cl/cg:live/__c/cctv7HD/__op/default/__f/index.m3u8
CCTV8电视剧高清,http://118.24.227.124/__cl/cg:live/__c/cctv8HD/__op/default/__f/index.m3u8
CCTV9纪录高清,http://118.24.227.124/__cl/cg:live/__c/cctv9HD/__op/default/__f/index.m3u8
CCTV10科教高清,http://118.24.227.124/__cl/cg:live/__c/cctv10HD/__op/default/__f/index.m3u8
CCTV11戏曲高清,http://118.24.227.124/__cl/cg:live/__c/cctv11HD/__op/default/__f/index.m3u8
CCTV12社会与法高清,http://118.24.227.124/__cl/cg:live/__c/cctv12HD/__op/default/__f/index.m3u8
CCTV13新闻高清,http://118.24.227.124/__cl/cg:live/__c/cctvNewsHD/__op/default/__f/index.m3u8
CCTV14少儿高清,http://118.24.227.124/__cl/cg:live/__c/cctv14HD/__op/default/__f/index.m3u8
CCTV15音乐高清,http://118.24.227.124/__cl/cg:live/__c/cctv15HD/__op/default/__f/index.m3u8
CCTV16,http://118.24.227.124/__cl/cg:live/__c/cctv16HD/__op/default/__f/index.m3u8
CCTV17农业农村高清,http://118.24.227.124/__cl/cg:live/__c/cctv17HD/__op/default/__f/index.m3u8
卫视高清,#genre#
河南卫视高清,http://118.24.227.124/__cl/cg:live/__c/henanHD/__op/default/__f/index.m3u8
山东卫视高清,http://118.24.227.124/__cl/cg:live/__c/shandongHD/__op/default/__f/index.m3u8
浙江卫视高清,http://118.24.227.124/__cl/cg:live/__c/zhejiangHD/__op/default/__f/index.m3u8
江苏卫视高清,http://118.24.227.124/__cl/cg:live/__c/jiangsuHD/__op/default/__f/index.m3u8
江西卫视高清,http://118.24.227.124/__cl/cg:live/__c/jiangxiHD/__op/default/__f/index.m3u8
河北卫视高清,http://118.24.227.124/__cl/cg:live/__c/hebeiSD/__op/default/__f/index.m3u8
北京卫视高清,http://118.24.227.124/__cl/cg:live/__c/beijingHD/__op/default/__f/index.m3u8
天津卫视高清,http://118.24.227.124/__cl/cg:live/__c/tianjinHD/__op/default/__f/index.m3u8
东方卫视高清,http://118.24.227.124/__cl/cg:live/__c/shanghaiHD/__op/default/__f/index.m3u8
湖南卫视高清,http://118.24.227.124/__cl/cg:live/__c/hunanHD/__op/default/__f/index.m3u8
湖北卫视高清,http://118.24.227.124/__cl/cg:live/__c/hubeiSD/__op/default/__f/index.m3u8
安徽卫视高清,http://118.24.227.124/__cl/cg:live/__c/anhuiSD/__op/default/__f/index.m3u8
